seed,method_name,display_group,threshold_profile,threshold_quantile,d_business,d_cost,num_preferences,unique_selected_policies,feasible_assignment_rate,mean_violation,business_violation,cost_violation,mean_utility,candidate_count,raw_pareto_size,table_b_replay_critical_impact_count,table_b_replay_final_critical_compromised_hosts,table_b_replay_ever_critical_breach_rate,table_b_replay_persistent_critical_breach_rate
19,ours_stage2_v2_4,Ours Stage2 V2.4,looser,0.1,-28.248770904541015,-25.80816764831543,286,3,1.0,0.0,0.0,0.0,-42.315297525245825,30,5,0.0,0.0,0.0,0.0
19,ours_stage2_v2_4,Ours Stage2 V2.4,default,0.25,-27.781768798828125,-24.6200008392334,286,3,1.0,0.0,0.0,0.0,-42.315297525245825,30,5,0.0,0.0,0.0,0.0
19,ours_stage2_v2_4,Ours Stage2 V2.4,stricter,0.5,-26.534896850585938,-23.14166831970215,286,3,0.965034965034965,0.043360236641410345,0.043360236641410345,0.0,-42.315297525245825,30,5,0.0,0.0,0.0,0.0
19,stage1_only_4obj,Stage1 Only 4obj,looser,0.1,-28.248770904541015,-25.80816764831543,286,2,1.0,0.0,0.0,0.0,-45.11319910938089,18,2,0.0,0.0,0.0,0.0
19,stage1_only_4obj,Stage1 Only 4obj,default,0.25,-27.781768798828125,-24.6200008392334,286,2,1.0,0.0,0.0,0.0,-45.11319910938089,18,2,0.0,0.0,0.0,0.0
19,stage1_only_4obj,Stage1 Only 4obj,stricter,0.5,-26.534896850585938,-23.14166831970215,286,2,0.9125874125874126,0.10853714042610221,0.10853714042610221,0.0,-45.11319910938089,18,2,0.0,0.0,0.0,0.0
19,weighted_sum_4obj,Weighted-Sum 4obj,looser,0.1,-28.248770904541015,-25.80816764831543,286,4,0.0,114.8246557755899,114.8246557755899,0.0,-176.60450103066185,30,17,1.0,0.975,0.975,0.975
19,weighted_sum_4obj,Weighted-Sum 4obj,default,0.25,-27.781768798828125,-24.6200008392334,286,4,0.0,115.33268348320381,115.29165788130327,0.041025601900540866,-176.60450103066185,30,17,1.0,0.975,0.975,0.975
19,weighted_sum_4obj,Weighted-Sum 4obj,stricter,0.5,-26.534896850585938,-23.14166831970215,286,4,0.0,117.71673429262388,116.53852982954545,1.1782044630784254,-176.60450103066185,30,17,1.0,0.975,0.975,0.975
19,lagrangian_ppo_4obj,Lagrangian PPO,looser,0.1,-28.248770904541015,-25.80816764831543,286,1,0.0,95.46559982299758,95.46559982299758,0.0,-332.3125573963552,1,1,1.125,0.975,0.975,0.975
19,lagrangian_ppo_4obj,Lagrangian PPO,default,0.25,-27.781768798828125,-24.6200008392334,286,1,0.0,95.93260192871094,95.93260192871094,0.0,-332.3125573963552,1,1,1.125,0.975,0.975,0.975
19,lagrangian_ppo_4obj,Lagrangian PPO,stricter,0.5,-26.534896850585938,-23.14166831970215,286,1,0.0,97.36280632019043,97.17947387695312,0.1833324432373047,-332.3125573963552,1,1,1.125,0.975,0.975,0.975
19,no_constraint_stage2_4obj,Unconstrained Stage-2,looser,0.1,-28.248770904541015,-25.80816764831543,286,3,1.0,0.0,0.0,0.0,-42.9974932078715,37,5,0.0,0.0,0.0,0.0
19,no_constraint_stage2_4obj,Unconstrained Stage-2,default,0.25,-27.781768798828125,-24.6200008392334,286,3,1.0,0.0,0.0,0.0,-42.9974932078715,37,5,0.0,0.0,0.0,0.0
19,no_constraint_stage2_4obj,Unconstrained Stage-2,stricter,0.5,-26.534896850585938,-23.14166831970215,286,3,0.951048951048951,0.060704331297974486,0.060704331297974486,0.0,-42.9974932078715,37,5,0.0,0.0,0.0,0.0
